prestador_codigo,prestador_nome,_provider_ranking_id,especialidade,avg_cost_before,avg_cost_after,amount_of_contact,contact_score,rank_position,patient_by_month,claim_per_capita,average_paid_by_month,rate_atendimento_domiciliar,rate_terapias,rate_pronto_socorro,rate_exames_ambulatoriais,rate_consulta,rate_internacao,_provider_id,no_fantasia,no_razao_social,no_municipio,co_sigla_estado,no_bairro,co_cep,no_logradouro,nu_endereco,no_complemento,nu_telefone,no_email,tipo_estabelecimento
44599041000111,CENTRO RADIOLOGICO CAMPINAS LTDA,b951790114c7055fb52b86d8badfeed7,MÉDICO CLÍNICO,9419.83,465.24,110,20.247,65,12.73,300.33,5781.3057142857151,,,,1,,,a5a7ec20473a544dcee029b18fc0d558,CENTRO RADIOLOGICO CAMPINAS,CENTRO RADIOLOGICO CAMPINAS LTDA,CAMPINAS,SP,CENTRO,13013161,AV ANDRADE NEVES,707,"",(19)32439022,edneia@auditline.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
04287805000119,DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS,e74da32d130c31f769971a53e9b804f0,MÉDICO CLÍNICO,3532.88,177.43,748,19.911,66,283.21,645.43,87733.374137931023,,,,1,,,82b3c8a1c95e0be9af023bc05ac81e25,DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS,DIAGNOSTICO LAB DE ANALISES CLINICAS DE RIO DAS OSTRAS LTDA,MACAE,RJ,CENTRO,27910000,RUA VELHO CAMPOS,568,"",2227917634,diagnosticolab@mce.viacabocom.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
39547419000101,ARTRO ORTOPEDIA E TRAUMATOLOGIA SS LTDA,6ab8a400cb2307e5548c1310b84a230d,MÉDICO CLÍNICO,8810.95,443.49,191,19.867,67,23.83,326.83,10559.130000000001,,0.004,,0.768,0.228,,4d04f75e74029770c7802969f14fb34b,ARTRO,ARTRO ORTOPEDIA E TRAUMATOLOGIA LTDA,NITEROI,RJ,ICARAI,24220110,CINCO DE JULHO,263,"",021 6114660,"",CLINICA/CENTRO DE ESPECIALIDADE
30079222000102,CLINICA OFTALMOLOGICA SANTA BEATRIZ LTDA,f2efc18f95ba82f4af38370d9458ba54,MÉDICO CLÍNICO,4034.17,203.43,125,19.831,68,26.11,160.91,4290.9291666666668,,0.002,0.243,,0.755,,7e12612589d41f9faccafd315bd60d19,HOSPITAL DE OLHOS SANTA BEATRIZ,HOSPITAL OFTALMOLOGICO SANTA BEATRIZ LTDA,NITEROI,RJ,FONSECA,24120191,ALAMEDA SAO BOAVENTURA,586,"",(21)26250808,diretoria@hosb.com.br,
02561150000108,TRAUMACENTER SERV MEDICO HOSPITA,ca490da1a36fe45748ddce978430fe93,MÉDICO CLÍNICO,4384.16,224.86,392,19.497,69,102.76,199.12,14673.843076923073,,0.006,0.282,0.376,0.332,0.003,f0b012a36cf9eef72d93abe5b8b46030,TRAUMACENTER,TRAUMACENTER SERVICO MEDICOS HOSPITALARES LTDA,NATAL,RN,LAGOA NOVA,59062300,RUA LIMA E SILVA,1337,"",(84)40098100,"",CLINICA/CENTRO DE ESPECIALIDADE
32740227000160,CARDIO CLINICA CARDIOLOGICA DR.JOSE C.S.,06ffe29a37c913870bf42d8985e0e64f,MÉDICO CLÍNICO,11173.92,577.03,439,19.365,70,95.38,828.6,70280.447727272738,,,,1,,,03c6ef1b68b784cbcdee9f77af7a2a2c,CARDIO CLINICA CARDIOL DR JOSE CARLOS S DE OLIVEIRA LTDA,CARDIO CLINICA CARDIOLOGIA DR JOSE CARLOS SANTANA E DR ROB,ARACAJU,SE,SALGADO FILHO,49020270,GUILHERMINO REZENDE,168,"",79 32140321,carolaracaju@yahoo.com.br,CONSULTORIO ISOLADO
90791517772,REGINA CASZ SCHECHTMAN,77121181e8a242b87d02ff4d1b7c1af7,MÉDICO CLÍNICO,4002.35,210.03,111,19.056,71,31.79,167.07,3842.6247619047622,,0.027,,,0.973,,,,,,,,,,,,,,
19622734000130,MEDCOT DIAGNOSTICOS POR IMAGEM LTDA,6773da60e8a5423de1310f1c1a0d7f38,MÉDICO CLÍNICO,5460.13,295.44,189,18.481,72,28.24,885.41,23020.678571428572,,,,1,,,3fd4cb4fb40764df6d1e54d79475398f,DUO DIAGNOSTICOS,MEDCOT DIAGNOSTICOS POR IMAGEM LTDA,RIO DAS OSTRAS,RJ,BALNEARIO REMANSO,28893108,RUA GUAPORE,508,QD32 LT 08 E 20,2227641389,elaenegomes@duodiagnosticos.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
51873297000130,RCC RADIO CLIN DE CAMPINAS LTDA,3b8dc6d9bf7b04d7be7b00c2505a17f0,MÉDICO CLÍNICO,6279.08,341.64,202,18.379,73,41,651.76,26043.397500000003,,,,1,,,b6a504b2a9f3cea2674bf2fa4a01361d,RCC RADIOLOGIA CLINICA DE CAMPINAS CAMBUI,RCC RADIOLOGIA CLINICA DE CAMPINAS LTDA,CAMPINAS,SP,CAMBUI,13076011,AV JOSE DE SOUZA CAMPOS,840,"",32439022,edneia@auditline.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
00869018000124,PRO-MED MEDICINA DIAGNOSTICA,88715397207f8c7102fd5b0e8cbdb683,MÉDICO CLÍNICO,6445.81,359.21,160,17.944,74,22.25,426.96,8823.8558333333312,,,,1,,,379a7edb1b5abb2f50b6ba494e890653,PRO MED MEDICINA DIAGNOSTICA BARRA,PRO MED MEDICINA DIAGNOSTICA LTDA,RIO DE JANEIRO,RJ,BARRA DA TIJUCA,22631000,DAS AMERICAS,00505,SALA 0209 SALA 0210,2124571400,comercial.promedrio@gmail.com,CLINICA/CENTRO DE ESPECIALIDADE
51879914000105,LAB PATOL CL D FRANCESCHI,e3ab44c1799589a7557863749a2678bd,MÉDICO CLÍNICO,3727.28,208.92,186,17.841,75,113.84,387.83,19205.3564,,,,1,,,3bc4bc3254736db434b2590116b1cb50,LAFRA,LABORATORIO DE PATOLOGIA CLINICA DR FRANCESCHI,CAMPINAS,SP,CAMBUI,13024120,RUA JOSE VILLAGELIN JUNIOR,70,"",35145000,rh@labfranceschi.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
40986515000127,CARDIOCENTRO SC LTDA,d3332ca0157e1cd727a351800712ec2f,MÉDICO CLÍNICO,5359.58,300.83,130,17.816,76,47.67,175.91,5021.427727272724,,,,0.052,0.948,,a3ca6b648015530e9c2cdfc224947056,CARDIOCENTRO,CARDIOCENTRO LTDA,NATAL,RN,TIROL,59020300,CAMPOS SALES,762,"",84 32114166,luciana@cardiocentronatal.com.br,CLINICA/CENTRO DE ESPECIALIDADE
24528770000170,ECO-CENTRO CARDIOLOGICO DE NATAL LTDA,61e3aa31aff57130dc2dec4c3df7b6cb,MÉDICO CLÍNICO,6806.02,383.11,238,17.765,77,88.79,184,8847.32875,,,,0.079,0.921,,9f6c3340b9a970419d24b11462f13d3c,HC CARDIO,HC CARDIO LTDA,NATAL,RN,LAGOA NOVA,59075050,CORONEL AURIS COELHO,178,"",84 31131000,clinica@hccardio.com.br,CLINICA/CENTRO DE ESPECIALIDADE
17691047000141,Q. I. MED,6572fe9044e11f837a3044b67806b655,MÉDICO CLÍNICO,3674.96,208.14,401,17.656,78,36.84,317.5,10414.138,,,,1,,,67537788907c75b68750a3525d14b197,QI MED,2GN DIAGNOSTICOS POR IMAGEM,MACAE,RJ,CAVALEIROS,27920270,RUA ROBERTO F KENNEDY,8,"",(22) 2773-2811,contato@clinicaqimed.com.br,CLINICA/CENTRO DE ESPECIALIDADE
08015672000182,CENTRO OFTALMOLOGICO LAGOS DE RIO DAS OSTRAS LTDA ME,1dcc64235708ec6c84feb26cd383fae1,MÉDICO CLÍNICO,3222.35,183.65,201,17.546,79,52.38,132.46,5942.7527272727275,,,,,1,,b51b4d858239b29cd636b7efd4a50218,CENTRO OFTALMOLOGICO LAGOS DE RIO DAS OSTRAS,CENTRO OFTALMOLOGICO LAGOS DE RIO DAS OSTRAS LTDA,RIO DAS OSTRAS,RJ,COSTAZUL,28895270,AVENIDA GOVERNADOR ROBERTO SILVEIRA,S/N,QD 08 LT 014,222 7774521,trielo.ro@hotmail.com,HOSPITAL/DIA - ISOLADO
63743462000119,CENTRO DE DIAGNOSTICO OFTALMOLOGICO DA AMAZONIA,dd97f790226304d9124b4939d4a56530,MÉDICO CLÍNICO,4239.31,245.47,126,17.27,80,31.21,101.11,2426.670833333334,,,,,1,,1d12396d4629802427347f95dbfc8a4e,CEDOA,CENTRO DE DIAGNOSTICO OFTALMOLOGICO DA AMAZONIA LTDA,MANAUS,AM,NOSSA SENHORA DAS GR,69053180,RUA RIO MAR,474,CONJUNTO VIEIRALVES,(92) 3212-6000,convenios@cedoa.com.br,HOSPITAL/DIA - ISOLADO
00912031000119,DNA LABORATORIO,4cf22ad319040e823a5da25bf53671b6,MÉDICO CLÍNICO,9487.44,553.25,696,17.149,81,176.9,538.2,53143.0829032258,,,,1,,,a4601ba57525e2b9f20818b98e120b1a,DNA CENTRO LABORATORIAL,DNA CENTRO LABORATORIAL DE GENETICA BIOLOGIA MOLECULAR LTDA,SALVADOR,BA,RIO VERMELHO,41940000,RUA OSWALDO CRUZ,480,CASA,(71) 3344-7312,notafiscal@dnagenetica.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
44286185000118,ORTOCENTER INS ORT E FRAT,d31d4233f51e2ba9b46979f8f7569194,MÉDICO CLÍNICO,5066.16,300.47,315,16.861,82,88.07,157.86,8828.7033333333329,,,,0.69,0.31,,8669798ab862a02f0a86eceba93d1022,CLINICA ORTOCENTER,ORTOCENTER INSTITUTO DE ORTOPEDIA E FRATURAS LTDA EPP,SANTOS,SP,ENCRUZILHADA,11015220,RUA DOUTOR OLYNTHO RODRIGUES DANTAS,343,CJ 11,(13)21386600,financeiro@clinicaortocenter.com.br,CLINICA/CENTRO DE ESPECIALIDADE
70026661000171,HOSPITAL DE OLHOS DO RIO GRANDE DO NORTE LTDA,4ac19954f53f297d7f7a18a94f3ffcc1,MÉDICO CLÍNICO,3449.55,204.78,141,16.845,83,22.92,126.51,4078.7555999999986,,,,,1,,058a15bbe33e253874efe9625df9c623,HOSPITAL DE OLHOS DO RN,HOSPITAL DE OLHOS DO RN LTDA,NATAL,RN,PETROPOLIS,59020090,RUA MOSSORO,615,"",(84)3211 8373,"",PRONTO SOCORRO ESPECIALIZADO
13158985000120,CLINICA DE MED.NUCLEAR END.E DIAB.LTDA,4cd52dbb2f2d0ebbaa47283c4b56fb90,MÉDICO CLÍNICO,6773.53,405.14,605,16.719,84,79.88,457.27,36581.406666666662,,,,0.929,0.07,0,29f785ec87c57ddc48d449ba7cd50b22,CLIMEDI,CLIMEDI CLINICA DE MEDICINA NUCLEAR ENDOCRINOLOGIA E DIABE,ARACAJU,SE,CENTRO,49015040,BARAO DE MAROIM,570,"","","",
00698814000141,GOT GRUPO DE ORTOPEDIA E,e0a47b0d6a5a092201f17aeab29c0a45,MÉDICO CLÍNICO,7245.04,435.22,140,16.647,85,26.5,248.86,6665.9839285714279,,,0.281,0.365,0.354,,98affc6277657d9676ea7a059a0598f8,GOT,GOT GRUPO DE ORTOPEDIA E TRAUMATOLOGIA DE ALAGOINHAS LT,ALAGOINHAS,BA,CENTRO,48005020,MARECHAL DEODORO,169,TERREO 1 ANDAR,75 34222476,atendimento@clinicagot.com.br,HOSPITAL/DIA - ISOLADO
55678577000149,CLINICA REFRAKTUM LTDA - EPP,6ae5bb8d6de33eecb86ee952c9d3a02f,MÉDICO CLÍNICO,5005.01,306.41,131,16.334,86,28.92,84.58,1895.4545454545455,,,,,1,,a3cfe8ec44a1d5eafe4fd2c8aab6e410,INSTITUTO DE OLHOS EDUARDO PAULINO,CLINICA REFRAKTUM EIRELI,SANTOS,SP,BOQUEIRAO,11055001,AVENIDA WASHINGTON LUIZ,451,"",(13) 3477-9000,"",CLINICA/CENTRO DE ESPECIALIDADE
28012862000153,CLINICA DE ULTRA SON E CARDIOT CARLOS BITTENCOURT,77a8bb90c0e43ca16d7c4941c613200a,MÉDICO CLÍNICO,6123.69,375.12,146,16.325,87,27,166.63,4348.938,,,,1,,,b3ee83e70f94f529cb3b5b45a5fe1853,CLINICA DE ULTRA SON E CARDIO CARLOS AUGUSTO M BITTENCOURT,CLINICA DE ULTRA SON E CARDIO CARLOS AUGUSTO M BITTENCOURT,RIO DE JANEIRO,RJ,TIJUCA,20520054,RUA CONDE DE BONFIM,310,"","","",CONSULTORIO ISOLADO
16458630000144,HOSPITAL DE OLHOS DE SERGIPE LTDA,1eb8fa9c542f926886be8c0b3785ff2e,MÉDICO CLÍNICO,6107.3,374.46,342,16.31,88,70.52,112.99,6907.0434782608691,,,,,1,,92478e8d707d8dc84c8711b4af617da7,HOSPITAL DE OLHOS DE SERGIPE,HOSPITAL DE OLHOS DE SERGIPE LTDA,ARACAJU,SE,TREZE DE JULHO,49020380,CAMPO DO BRITO,995,"",79 32120800,financeiro@hosergipe.com.br,HOSPITAL/DIA - ISOLADO
05492927728,LEONAM DOS SANTOS MAGALHAES,8815cbb6d90a812a0d94960a1b3a5674,MÉDICO CLÍNICO,4503.45,277.83,101,16.209,89,22,137.27,2709.6478260869562,,,,,1,,eb089cbaf6df72255b7cea44a932973e,LEONAM DOS SANTOS MAGALHAES,LEONAM DOS SANTOS MAGALHAES,MACAE,RJ,CENTRO,27910000,RUA ANTERO PERLINGEIRO,160,SALA 201,22 27622980,leonammagalhaes@hotmail.com,CONSULTORIO ISOLADO
30227284000114,CLINICA RADIOLOGICA PEDRO II LTDA SC,45331e261121aaa526fcfc9ad7ff410f,MÉDICO CLÍNICO,4331.48,269.84,102,16.052,90,28.92,596.7,13070.497142857144,,,,1,,,e363b00534c05058b4e3ac423425eaea,CLINICA RADIOLOGICA PEDRO II,CLINICA RADIOLOGICA PEDRO II SC LTDA,PETROPOLIS,RJ,MORIN,25625073,RUA DR SA EARP,733,"",(24)2244-2666,"administracao@crpii.com.br, sac@crpii.com.br e telefonia@=",UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
29845989000116,LABORATORIO MORALES SC LTDA,9e7dbed9604485287d71afa5d9eb7327,MÉDICO CLÍNICO,3561.19,222.65,150,15.995,91,48.81,393.11,13244.636923076923,,,,1,,,0166b1571088aa80f459d05667b1ec6c,LABORATORIO MORALES,LABORATORIO MORALES LTDA,SAO GONCALO,RJ,CENTRO,24445440,JORGE SOARES,22,"",27100084,controladoria@laboratoriomorales.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
96461560610,GIORDANIA GOMES CAMPOS,583edd928acd7b43a48d85e85799844c,MÉDICO CLÍNICO,4006.17,253.2,152,15.822,92,30.16,132.46,3582.534090909091,,,,,1,,afd828c12941af836e9bd844f126802a,GIORDANIA GOMES CAMPOS,GIORDANIA GOMES CAMPOS,RIO DAS OSTRAS,RJ,CENTRO,28893410,AVENIDA NOVO RIO DAS OSTRAS,250,SL 04,22 27603346,giordaniagc@yahoo.com.br,CONSULTORIO ISOLADO
01623611000159,HEMOCENTER LAB DE ANALISES CLINICAS LTDA - EPP,51531614f0c0ccf1b46a10f30fab17e8,MÉDICO CLÍNICO,11354.1,718.76,163,15.797,93,47.81,455.66,13214.233750000001,,,,1,,,65490ea4288f903f561111c74267bfb0,IHEF MEDICINA LABORATORIAL,HEMOCENTER LABORATORIO DE ANALISES CLINICAS LTDA,FEIRA DE SANTANA,BA,CENTRO,44020260,AV GETULIO VARGAS,844,EDF MEDDI,(75)21015000/77/51,laboratorio@meddi.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
30399315000114,LAB DE ANATOMIA PATOLOGICA E CITOPATOLOGIA LTDA,1276cb41422b5a33fbfc53d0ceaa58e5,MÉDICO CLÍNICO,5145.17,330.79,125,15.554,94,9,950.58,11474.854285714286,,,,1,,,a05de73e17cc4f610476533df3b722d0,LAPAC,LAPAC LABORATORIO ANATOMIA PATOLOGICA E CITOPATOLOGIA LTDA,CAMPOS DOS GOYTACAZES,RJ,CENTRO,28030362,RUA BARAO DE MIRACEMA,201,"",2227385800,"",UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
39256128000156,HOSPITAL DE OLHOS NITEROI,eac719608dd52675fa24dbf168e553bb,MÉDICO CLÍNICO,5125.07,329.53,707,15.553,95,177.89,159.07,21892.63125,,,,,1,,d0196729471bc41d0e9787a27301ba24,HOSPITAL DE OLHOS NITEROI,CENTRO DE OLHOS AV SETE DE SETEMBRO LTDA,NITEROI,RJ,ICARAI,24230250,SETE DE SETEMBRO,221,227 229 E 233,21 27156000,financeiro@hon.com.br,HOSPITAL/DIA - ISOLADO
40594293000105,OSTEO CENTRO DE DIAGNOST DA OSTEOPOROSE LTDA - EPP,1cbc2b37d3f8983b9728ce669b241d9f,MÉDICO CLÍNICO,8348.54,538.84,264,15.494,96,67.72,209.51,12779.820399999993,,,,0.827,,,83b05931c2bdc296fa0ddd1a8c01c09a,OSTEO CENTRO DIAGNOSTICO DA OSTEOPOROSE,OSTEO CENTRO DIAGNOSTICO DA OSTEOPOROSE SC LTDA,SALVADOR,BA,ITAIGARA,41825000,AVENIDA ACM CENTRO MEDICO PROF CARLOS ARISTIDES MALTEZ,237,SALAS 601 608,(71)3352-8844,adm@clinicacam.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
14526487000155,CAM CLINICA DE ASSISTENCIA A MULHER LTDA,8b56fbeba85cfabc25719e994b39776b,MÉDICO CLÍNICO,5980.16,388.58,854,15.39,97,250.35,501.91,72015.561290322585,,,,0.921,0.077,0.002,26c8bcb97161bbf11fc3debfcce686d7,CAM,CLINICA DE ASSISTENCIA A MULHER LTDA,SALVADOR,BA,CANELA,40110180,RUA CLAUDIO MANOEL DA COSTA,58,CASA,31833344,cam@clinicacam.com.br,CLINICA/CENTRO DE ESPECIALIDADE
16280109000160,NOOBA NUCLEO DE OTORRINO DA BAHIA SOC SIMPLES LTDA,44603c9774c444c487328fea388d4f1a,MÉDICO CLÍNICO,7243.78,473.66,124,15.293,98,25.22,125.79,2571.2344,,0.108,,,0.892,,cb670089eba942935e228a976f0f0244,NOOBA,NOOBA NUCLEO DE OTORRINOLARINGOLOGIA DA BAHIA S S LTDA,SALVADOR,BA,PITUBA,41820021,AVENIDA TANCREDO NEVES CM IGUATEMI,805,SALA 311 E 312,(71) 3186-0200,adm@nooba.com.br,CLINICA/CENTRO DE ESPECIALIDADE
10730521000158,CLINICA DE ONCOLOGIA E MASTOLOGIA DE NATAL LTDA,a2c64ed4aeacb47a2c72c8b2b889a7d4,MÉDICO CLÍNICO,6133.59,401.56,198,15.274,99,89.75,330.69,13351.747916666662,,,,0.468,0.527,0.004,111ea3f79e72bd0fb1e52f7e3f5e8161,CLINICA DE ONCOLOGIA E MASTOLOGIA,CLINICA DE ONCOLOGIA E MASTOLOGIA DE NATAL LTDA,NATAL,RN,TIROL,59020100,AFONSO PENA,1071,"",84 40083388,onco@supercabo.com.br,CLINICA/CENTRO DE ESPECIALIDADE
05460308000133,CHECK UP HOSPITAL LTDA,80281fbe64c5bf41432a8cd8cbf9e362,MÉDICO CLÍNICO,4462.89,293.75,102,15.193,100,53.81,599.05,13801.094230769231,,0,0.059,0.812,0.096,0.032,7e4d26bc4e8404a9e3c7b030be428ac6,CHECKUP HOSPITAL LTDA,CHECKUP HOSPITAL LTDA,MANAUS,AM,SAO FRANCISCO,69079265,AV PARAIBA,500,"",(92)212505959,waldecylobato@checkuphospital.com.br,
57485484000123,CDE DIAGNOSTICO POR IMAGE,dbd3255bc000bf342ea391c0efad6f94,MÉDICO CLÍNICO,4550.66,299.54,165,15.192,101,38.4,475.58,14851.04409090909,,,,0.999,,0.001,35a71f519da224f9e8e278846c39d623,CDE DIAGNOSTICO POR IMAGEM,CDE CLINICA MEDICA LTDA,CAMPINAS,SP,GUANABARA,13020431,AVENIDA BARAO DE ITAPURA,933,"",37370770,jorge@clinicacde.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
16456022000109,CEMISE-CENTRO DE MEDICINA INTEGRADA DE S,8d3088457516f661116db1a04d837ec2,MÉDICO CLÍNICO,7965.44,528.9,760,15.06,102,176.55,339.45,40785.68230769231,,,,1,,0,ac032f562075a95e3870eef22960f21c,CEMISE,CENTRO DE MEDICINA INTEGRADA DE SERGIPE,ARACAJU,SE,SAO JOSE,49015150,RUA CONSTRUTOR JOAO ALVES,228,"",(79)3304-1000,atendimento@cemise.com.br,
30412605000150,ULTRA SOM MEDICO MACAE LTDA,daeb9d78376f0bf769601671c6ef1e5e,MÉDICO CLÍNICO,4754.9,320.67,367,14.828,103,41.53,286.28,19829.702333333335,,,,1,,,aa065f4c37a9ce9339fa3da4e1046683,CEDI DIAGNOSTICOS,ULTRA SOM MEDICO MACAE LTDA,MACAE,RJ,CENTRO,27910020,RUA VISCONDE DE QUISSAMA,766,SALA 7,(22)27730020,llcedi@hotmail.com,CLINICA/CENTRO DE ESPECIALIDADE
03939028703,FERNANDO DE SIQUEIRA BAPTISTA,065dd46e1865cca74f25a0ab83842c04,MÉDICO CLÍNICO,24096.19,1650.52,157,14.599,104,44.5,576.42,14886.738260869563,,,,0.542,0.458,,5219d91766ad968b1f75a29671d851b9,FERNANDO DE SIQUEIRA BAPTISTA,FERNANDO DE SIQUEIRA BAPTISTA,MACAE,RJ,CENTRO,27910300,RUA DOUTOR BUENO,131,SALA 101,(22) 2759-3521,"",CONSULTORIO ISOLADO
32637787000193,LABORATORIO SABIN SALVADO,6a16aa13b970edf0937fa6fa227a187f,MÉDICO CLÍNICO,13769.49,943.9,863,14.588,105,321.55,660.1,103987.25033333336,,,,1,,,cafd3597bc4d7937a91405c987175b62,LABORATORIO SABIN PITUBA,LABACLEN LAB DE ANALISES CLINICAS E ENDOCRINOLOGICAS LTDA,SALVADOR,BA,PITUBA,41800700,AV ACM AO LADO DA DELFIM,56,"",(71) 3261-1314,qualidadessa@sabin.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
16740086000129,SAO MARCOS SAUDE E MED DIAG,524695c4f505f58702860174563940cf,MÉDICO CLÍNICO,3594.52,248.54,241,14.463,106,108.44,441.48,26066.743478260865,,,,1,,,635df7391810cb432f6a48f0e1797172,SAO MARCOS SAUDE E MEDICINA DIAGNOSTICA SA,SAO MARCOS SAUDE E MEDICINA DIAGNOSTICA S A,BELO HORIZONTE,MG,MINAS BRASIL,30730440,PARA DE MINAS,1035,NUMERO 1059,31 35082438,iracema.maciel@saomarcoslaboratorio.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
61486650007358,DIAGNOSTICOS DA AMERICA,c1032ea885f36fdc6cd8ac520182486d,MÉDICO CLÍNICO,7462.51,523.02,1266,14.268,107,200.39,580.46,87929.899032258079,,,,1,,,26983fb31776590b4057c8d8a9255b11,BRONSTEIN MEGA COPACABANA,DIAGNOSTICOS DA AMERICA S A,RIO DE JANEIRO,RJ,COPACABANA,22061010,RUA XAVIER DA SILVEIRA,59,"","","",UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
30060222000160,ROENTGEN DIAGNOSTICO LTDA,c4cf8f42f1684356aa6db68322f5c73e,MÉDICO CLÍNICO,3212.52,227.88,110,14.097,108,23.78,151.81,3812.2,,,,1,,,58ca4db7efdd348e48be6dbab6511124,ROENTGEN DIAGNOSTICO,ROENTGEN DIAGNOSTICO LTDA,NITEROI,RJ,ICARAI,24230101,RUA GAVIAO PEIXOTO,182,SALA 410 411 E 412,(21) 2711-4956,"",UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
73794724615,MAURO NICO,758f05fb21c024c4fb8966f812935ea3,MÉDICO CLÍNICO,3794.49,274.04,159,13.846,109,32.59,135.19,3996.8347826086961,,,,,1,,d2a7ac880b7d915852f38fa64e1b9e40,MAURO NICO,MAURO NICO,MACAE,RJ,IMBETIBA,27913350,AVENIDA ELIAS AGOSTINHO,340,SALAS 408 409 E 410,"","",CONSULTORIO ISOLADO
40179459000119,PRO ECHO CARDIODATA SERVICOS MEDICOS LTDA,3bf51f474c7d05a8c956357c0fe108f0,MÉDICO CLÍNICO,8192.65,595.92,519,13.748,110,74.68,498.71,31347.305714285714,,,,1,,0,31ea14b5f21c74b82892e452ce09160c,PRO ECHO CARDIODATA SERVICOS MEDICOS MATRIZ,PRO ECHO CARDIODATA SERVICOS MEDICOS LTDA,RIO DE JANEIRO,RJ,TIJUCA,20511240,RUA PINTO DE FIGUEIREDO,144,PARTE,21-2139-9999,horeservi@gmail.com,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
60214517002078,UNIMED SAO JOSE DOS CAMPOS COOP DE TRABALHO MEDICO,e27f7021a79f579ffa13467bd354b284,MÉDICO CLÍNICO,1967.08,144.08,126,13.653,111,40.97,230.21,5079.8836666666657,,,0.437,0.559,0.001,0.002,8c7b9519a5f5cb3827230b6e2916136e,SANTOS DUMONT HOSPITAL UNIDADE CARAGUATATUBA,UNIMED SAO JOSE DOS CAMPOS COOPERATIVA DE TRABALHO MEDICO,CARAGUATATUBA,SP,INDAIA,11665030,RIO GRANDE DO SUL,1750,"",12 21395177,diretoria@unimedsjc.coop.br,
92725406668,LYDIO LUIZ BANDEIRA MELO,8bbd4266d9b969731495385374f611f9,MÉDICO CLÍNICO,2418.4,177.49,152,13.626,112,21.97,128.65,2840.5240000000003,,,,,1,,c3ac277300093713abe11799a77827ee,LYDIO LUIZ BANDEIRA DE MELLO,LYDIO LUIZ BANDEIRA DE MELLO,MACAE,RJ,CENTRO,27910362,AVENIDA RUI BARBOSA,698,SALA 802,(22) 2762-8956,cdo@lydiobandeira.com.br,CONSULTORIO ISOLADO
67167387000146,DIAGMED,3505f57e73c7ae0aa54e5209d5b1c9a1,MÉDICO CLÍNICO,4519.22,338.63,201,13.346,113,29.18,437.67,18644.7465,,,,1,,,9e3cb7ef17e4a67be6ab7fef814feb94,DIAGMED,CENTRO INTEGRADO DE DIAGNOSE LTDA,CAMPINAS,SP,GUANABARA,13073012,AV BRASIL,884,N 872 E 900,37435000,diagmed@diagmed.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
13890272000156,LABCHECAP,6816715bc8447990c9274b096b8aac6e,MÉDICO CLÍNICO,8988.24,675.93,457,13.298,114,98.18,821.15,59817.8776923077,,,,1,,,a88740b914e193b8f8b0525fa0ec78fe,LABCHECAP,CECOBA CLINICA DE ECOGRAFIA DA BAHIA LTDA EPP,SALVADOR,BA,PITUBA,41810000,AV PAULO VI,1956,CASA,(71) 3345-8200,cecobaadm@labchecap.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
01458792000105,CENTRO DIAGNOSTICO SANTA MARTA LTDA,898d4388fd18d94f5d091871305217ea,MÉDICO CLÍNICO,3257.43,247.47,150,13.163,115,55.8,683.99,22601.458260869564,,,,1,,,c9f421368d710a828ca78fa546c4423e,CLINICA MULT IMAGEM CARAGUATATUBA,CENTRO DIAGNOSTICO SANTA MARTA LTDA,CARAGUATATUBA,SP,SUMARE,11661300,CASTELO BRANCO,248,"","","",UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
